'PP ' 592  262493  41.81 
'PSdeG-PSOE ' 318  151948  24.20 
'BNG ' 217  102947  16.40 
'TEGA ' 22  13436  2.14 
'EU ' 11  16157  2.57 
'AV ' 11  8343  1.33 
'UxO ' 7  3098  0.49 
'CG ' 5  3905  0.62 
'APDC ' 5  3191  0.51 
'PDSP ' 5  2047  0.33 
'I X CEE ' 5  1876  0.30 
'ICMON ' 5  611  0.10 
'PGD ' 4  1884  0.30 
'PBN ' 4  1190  0.19 
'UxC ' 3  1546  0.25 
'IxVIMIANZO ' 3  1407  0.22 
'AxA ' 3  734  0.12 
'XCPT ' 3  360  0.06 
'PROPOMO ' 3  318  0.05 
'I X SANTA COMBA ' 2  1017  0.16 
'NOIA ' 2  986  0.16 
'CideGa ' 2  905  0.14 
'AVS ' 2  837  0.13 
'PIMAZ ' 2  742  0.12 
'VB ' 2  672  0.11 
'CENVAL ' 2  671  0.11 
'AEC ' 2  310  0.05 
'AIAC ' 2  229  0.04 
'IF ' 1  1806  0.29 
'IPdeR ' 1  1125  0.18 
'UPBoiro ' 1  1029  0.16 
'IN TEO ' 1  797  0.13 
'PdeC ' 1  741  0.12 
'IC BOIRO ' 1  690  0.11 
'CIPa ' 1  610  0.10 
'CxB ' 1  539  0.09 
'AIM ' 1  533  0.08 
'APSI ' 1  481  0.08 
'UporV ' 1  355  0.06 
'RESTO ' 7  16430  2.62 
'EAJ-PNV  ' 161   34566   22.46  
'BILDU-EA-ALTERNATIBA ' 105  31825  20.68 
'PP ' 82  38994  25.34 
'PSE-EE (PSOE) ' 33  24958  16.22 
'AMI ' 6  113  0.07 
'ZB ' 5  336  0.22 
'AIZ/ZEI ' 5  164  0.11 
'DTI AIA ' 4  372  0.24 
'SARRAGOA ' 3  307  0.20 
'ZUIAK BATZEIN GAITU-ZUIA NOS UNE ' 3  292  0.19 
'ALBA ' 3  284  0.18 
'AIB ' 3  147  0.10 
'AIARA BATUZ ' 2  314  0.20 
'CIA ' 2  203  0.13 
'OB ' 2  193  0.13 
'ARAMAIOKO ALKARTASUNA ' 2  177  0.12 
'AV ' 2  153  0.10 
'OMNIA ' 1  898  0.58 
'BAI-AEVO ' 1  168  0.11 
'A V IRUÑA DE OCA ' 1  113  0.07 
'IDN ' 1  86  0.06 
'C I ZALDUONDO "GF FDEZ VILLATE" ' 1  76  0.05 
'ASMD ' 1  62  0.04 
'A I LAGRAN. VILLAVERDE Y PIPAON ' 1  41  0.03 
'EDUARDO LOMA VADILLO ' 1  28  0.02 
'EB-B '    5356  3.48 
'ARALAR '    3186  2.07 
'UPyD '    2522  1.64 
'B-LV '    1483  0.96 
'PUM+J '    1183  0.77 
'PACMA '    550  0.36 
'PFyV '    253  0.16 
'UCE '    214  0.14 
'OE '    174  0.11 
'IIS-A '    62  0.04 
'AVB '    57  0.04 
'  '         
'  '         
'  '         
'  '         
'PP  ' 370   106389   46.64  
'PSOE ' 365  86705  38.01 
'IU ' 27  14408  6.32 
'AICL ' 4  209  0.09 
'AEIA ' 3  1980  0.87 
'ACES ' 3  814  0.36 
'PIPA ' 3  453  0.20 
'AGINPO ' 3  436  0.19 
'AINPHO ' 3  409  0.18 
'IBV ' 3  55  0.02 
'CIVI ' 2  1589  0.70 
'PCdT ' 2  765  0.34 
'ADICHIN ' 2  422  0.18 
'UPyD ' 1  4058  1.78 
'DPA ' 1  826  0.36 
'AOI ' 1  238  0.10 
'AIR ' 1  189  0.08 
'LAC ' 1  162  0.07 
'ACI ' 1  114  0.05 
'AEI ' 1  112  0.05 
'AIP ' 1  96  0.04 
'PIDSS ' 1  94  0.04 
'ARM ' 1  90  0.04 
'AENJOR ' 1  66  0.03 
'PUM+J '    970  0.43 
'PRM '    948  0.42 
'PIH '    229  0.10 
'AGIL '    78  0.03 
'  '         
'  '         
'  '         
'  '         
'  '         
'  '         
'  '         
'  '         
'  '         
'  '         
'  '         
'  '         
'PP  ' 864   396154   46.65  
'PSOE ' 531  242962  28.61 
'BLOC-CM COMPROMÍS ' 87  42120  4.96 
'EUPV ' 48  44720  5.27 
'CDL ' 8  7318  0.86 
'CDP ' 6  434  0.05 
'UPyD ' 5  15784  1.86 
'EVPV/LVPV ' 5  5746  0.68 
'LVE ' 5  4061  0.48 
'PSD POR LOS CIUDADANOS ' 5  2199  0.26 
'CLR - CLARO ' 4  4713  0.55 
'APTCe ' 4  3526  0.42 
'CTPG ' 4  1407  0.17 
'APSFU ' 4  583  0.07 
'UPDN ' 4  386  0.05 
'IAF ' 4  208  0.02 
'CIPAL ' 3  1391  0.16 
'XD ' 3  1300  0.15 
'SC ' 3  1120  0.13 
'APPC ' 3  943  0.11 
'APC ' 3  919  0.11 
'CL ' 3  463  0.05 
'BLOC ' 3  384  0.05 
'INDEPENDENTS PER XALO ' 3  305  0.04 
'PIREE ' 3  278  0.03 
'A E GENT DE LAGUAR ' 3  275  0.03 
'AGRES ' 3  165  0.02 
'I PER SANET I ELS NEGRALS ' 3  156  0.02 
'INICIATIVA PER BENIMELI ' 3  127  0.01 
'VCD ' 2  2103  0.25 
'ESQUERRA-AM ' 2  1934  0.23 
'CU ' 2  1443  0.17 
'ADii ' 2  1281  0.15 
'GEDAC ' 2  1271  0.15 
'GpV ' 2  1252  0.15 
'CpJ ' 2  1031  0.12 
'GIMV ' 2  1028  0.12 
'CVa ' 2  994  0.12 
'NJ ' 2  936  0.11 
'RESTO ' 52  39352  4.63 
'PP  ' 465   148673   50.31  
'PSOE de Andalucia ' 412  90652  30.68 
'PA ' 36  9039  3.06 
'IULV-CA ' 33  18135  6.14 
'PdeAL ' 7  5124  1.73 
'GICAR ' 4  1441  0.49 
'iPD ' 4  770  0.26 
'AV ' 4  86  0.03 
'UM10 ' 3  559  0.19 
'AEUUC ' 3  217  0.07 
'GIE ' 3  115  0.04 
'ODC ' 3  81  0.03 
'UPyD ' 2  6435  2.18 
'GRINP ' 2  870  0.29 
'VHA ' 2  649  0.22 
'ACH ' 2  618  0.21 
'PIL ' 2  265  0.09 
'PIAP ' 2  162  0.05 
'PSDL ' 2  157  0.05 
'GIS ' 2  57  0.02 
'INDAPA ' 1  1419  0.48 
'AIT ' 1  261  0.09 
'GIS ' 1  226  0.08 
'MPSM ' 1  225  0.08 
'GIP ' 1  198  0.07 
'AC ' 1  165  0.06 
'MPM ' 1  163  0.06 
'ISC ' 1  72  0.02 
'AEL ' 1  62  0.02 
'LOS VERDES '    1100  0.37 
'PACMA '    395  0.13 
'ACpH-O '    369  0.12 
'UVAL '    360  0.12 
'CE '    261  0.09 
'AUPAL '    227  0.08 
'DN '    167  0.06 
'USIHA '    162  0.05 
'CIT '    151  0.05 
'URAL '    128  0.04 
'CDL '    28  0.01 
'EAJ-PNV  ' 161   34566   22.46  
'BILDU-EA-ALTERNATIBA ' 105  31825  20.68 
'PP ' 82  38994  25.34 
'PSE-EE (PSOE) ' 33  24958  16.22 
'AMI ' 6  113  0.07 
'ZB ' 5  336  0.22 
'AIZ/ZEI ' 5  164  0.11 
'DTI AIA ' 4  372  0.24 
'SARRAGOA ' 3  307  0.20 
'ZUIAK BATZEIN GAITU-ZUIA NOS UNE ' 3  292  0.19 
'ALBA ' 3  284  0.18 
'AIB ' 3  147  0.10 
'AIARA BATUZ ' 2  314  0.20 
'CIA ' 2  203  0.13 
'OB ' 2  193  0.13 
'ARAMAIOKO ALKARTASUNA ' 2  177  0.12 
'AV ' 2  153  0.10 
'OMNIA ' 1  898  0.58 
'BAI-AEVO ' 1  168  0.11 
'A V IRUÑA DE OCA ' 1  113  0.07 
'IDN ' 1  86  0.06 
'C I ZALDUONDO "GF FDEZ VILLATE" ' 1  76  0.05 
'ASMD ' 1  62  0.04 
'A I LAGRAN. VILLAVERDE Y PIPAON ' 1  41  0.03 
'EDUARDO LOMA VADILLO ' 1  28  0.02 
'EB-B '    5356  3.48 
'ARALAR '    3186  2.07 
'UPyD '    2522  1.64 
'B-LV '    1483  0.96 
'PUM+J '    1183  0.77 
'PACMA '    550  0.36 
'PFyV '    253  0.16 
'UCE '    214  0.14 
'OE '    174  0.11 
'IIS-A '    62  0.04 
'AVB '    57  0.04 
'  '         
'  '         
'  '         
'  '         
'PP  ' 902   56008   54.61  
'PSOE ' 357  25640  25.00 
'IUCyL ' 30  5517  5.38 
'PCAL-CI ' 28  3457  3.37 
'UPyD ' 18  6373  6.21 
'GIN ' 5  164  0.16 
'PIM ' 4  202  0.20 
'CDAD ' 3  324  0.32 
'AIN ' 3  90  0.09 
'AIE ' 3  34  0.03 
'CIC ' 2  230  0.22 
'CIPB ' 2  202  0.20 
'ADB ' 2  200  0.20 
'A D P ' 2  95  0.09 
'I POR ALDEASECA ' 2  78  0.08 
'AEM ' 2  34  0.03 
'VISL ' 2  21  0.02 
'AISB ' 2  20  0.02 
'AIM ' 2  13  0.01 
'IS ' 1  265  0.26 
'A I CRESPOS-CHAHERRERO-PASCUALGRANDE ' 1  87  0.08 
'IV ' 1  72  0.07 
'MI ' 1  48  0.05 
'PI ' 1  34  0.03 
'URCL ' 1  32  0.03 
'AIPC ' 1  25  0.02 
'AIG ' 1  11  0.01 
'MUP-R '    264  0.26 
'LV-GV '    61  0.06 
'IM '    22  0.02 
'CDP '    18  0.02 
'SA '    16  0.02 
