"Blancos", 0, 14890, 2.2
"Nulos", 0, 4655, 0.69
"PSOE", 30, 276415, 41.14
"PP", 23, 208642, 31.06
"PAR", 9, 81135, 12.08
"CHA", 4, 54752, 8.15
"IU", 1, 27440, 4.08
"LV-F.I.A.", 0, 4417, 0.66
"pCUA", 0, 2463, 0.37
"PFyV", 0, 1105, 0.16
"PH", 0, 577, 0.09
"Blancos", 0, 14458, 2.39
"Nulos", 0, 4844, 0.8
"PSOE", 21, 252201, 42.04
"PP", 20, 248907, 41.5
"IU-BA-VERDES", 4, 58114, 9.69
"URAS-PAS", 0, 13314, 2.22
"IAS-LOS VERDES GV", 0, 4119, 0.69
"AA", 0, 2770, 0.46
"PCPE", 0, 2001, 0.33
"IR", 0, 1707, 0.28
"DN", 0, 884, 0.15
"CONCEYU", 0, 782, 0.13
"CDAS", 0, 581, 0.1
"Blancos", 0, 8613, 2.05
"Nulos", 0, 2497, 0.59
"PP", 28, 192577, 46.02
"PSOE", 16, 115477, 27.6
"PSOE+EXC", 6, 19094, 4.56
"BPM", 4, 37572, 8.98
"UM", 3, 28178, 6.73
"PSM-VERDS", 1, 3292, 0.79
"AIPF", 1, 1795, 0.43
"ASI", 0, 1921, 0.46
"EM-EU", 0, 1728, 0.41
"PSOE+GxF", 0, 1456, 0.35
"CenB", 0, 1216, 0.29
"GVE", 0, 876, 0.21
"PB(M)", 0, 802, 0.19
"U.P.B.", 0, 689, 0.16
"UCM", 0, 686, 0.16
"DP", 0, 675, 0.16
"CLAU", 0, 546, 0.13
"TD", 0, 543, 0.13
"P.I.I.B.", 0, 366, 0.09
"UC", 0, 342, 0.08
"Blancos", 0, 13237, 1.41
"Nulos", 0, 5392, 0.57
"PSOE", 24, 322833, 34.51
"CC-PNC", 17, 222905, 23.83
"PP", 13, 224883, 24.04
"NCa", 2, 50749, 5.43
"PIL-CCN", 2, 9701, 1.04
"CC-AHI", 2, 2973, 0.32
"CCN", 0, 36975, 3.95
"VERDES", 0, 17793, 1.9
"CGCa", 0, 8512, 0.91
"IUC", 0, 6558, 0.7
"APCa-AC25m", 0, 4824, 0.52
"ANC", 0, 2539, 0.27
"UNIDAD DEL PUEBLO", 0, 1485, 0.16
"PCPC", 0, 1338, 0.14
"AMAGA", 0, 1079, 0.12
"P.G.C.", 0, 1073, 0.11
"CCCAN", 0, 1006, 0.11
"MUPC", 0, 888, 0.09
"ISAL", 0, 870, 0.09
"PH", 0, 777, 0.08
"UC", 0, 557, 0.06
"CTF", 0, 466, 0.05
"FE", 0, 327, 0.03
"DN", 0, 302, 0.03
"ICF", 0, 286, 0.03
"TPC", 0, 280, 0.03
"PNC", 0, 244, 0.03
"Blancos", 0, 5923, 1.69
"Nulos", 0, 3276, 0.94
"PP", 17, 143610, 41.48
"PRC", 12, 99159, 28.64
"PSOE", 10, 84982, 24.54
"IU-BR", 0, 6511, 1.88
"CONCEJU", 0, 1262, 0.36
"L.U.", 0, 1206, 0.35
"P.A.C.M.A.", 0, 965, 0.28
"PCPE", 0, 728, 0.21
"CDL", 0, 656, 0.19
"FE de las JONS", 0, 483, 0.14
"A.M.D.", 0, 416, 0.12
"PH", 0, 343, 0.1
"Blancos", 0, 14080, 1.27
"Nulos", 0, 8322, 0.75
"PSOE", 26, 572849, 51.96
"PP", 21, 467319, 42.38
"IU", 0, 37753, 3.42
"L.V.E.", 0, 3542, 0.32
"TC", 0, 2525, 0.23
"Ud.Ca.", 0, 1213, 0.11
"FE", 0, 1071, 0.1
"P.R.GU.", 0, 619, 0.06
"URI", 0, 610, 0.06
"PH", 0, 572, 0.05
"IR", 0, 410, 0.04
"Blancos", 0, 30200, 1.97
"Nulos", 0, 12305, 0.8
"PP", 48, 748746, 49.17
"PSOE", 33, 574596, 37.73
"U.P.L.", 2, 41519, 2.73
"IU-LVCyL", 0, 46878, 3.08
"TC-ACAL", 0, 17496, 1.15
"C.I.", 0, 16435, 1.08
"UPSa", 0, 7965, 0.52
"L.V.E.", 0, 5481, 0.36
"PAL-UL", 0, 4972, 0.33
"VERDES", 0, 4038, 0.27
"IDES", 0, 3760, 0.25
"ADEIZA-UPZ", 0, 3241, 0.21
"IR", 0, 2941, 0.19
"PREPAL", 0, 1713, 0.11
"L.V.", 0, 1524, 0.1
"DN", 0, 1522, 0.1
"ASíí", 0, 1214, 0.08
"CIBU", 0, 1148, 0.08
"FE de las JONS", 0, 1147, 0.08
"PCPE", 0, 1121, 0.07
"P.R.B.", 0, 1028, 0.07
"U.R.C.L.", 0, 914, 0.06
"C.D.S.", 0, 713, 0.05
"FE", 0, 559, 0.04
"AGRUCI", 0, 523, 0.03
"PH", 0, 462, 0.03
"CDL", 0, 330, 0.02
"UCL", 0, 315, 0.02
"FA", 0, 290, 0.02
"Blancos", 0, 7926, 1.18
"Nulos", 0, 4898, 0.73
"PSOE", 38, 352342, 53
"PP", 27, 257392, 38.71
"IU-SIEX", 0, 30028, 4.52
"IPEX", 0, 8389, 1.26
"LV", 0, 4082, 0.61
"UPEX", 0, 1520, 0.23
"I.H.", 0, 958, 0.14
"PCPE", 0, 903, 0.14
"CenB", 0, 499, 0.08
"C.D.S.", 0, 445, 0.07
"PH", 0, 370, 0.06
"Blancos", 0, 2977, 1.71
"Nulos", 0, 1379, 0.79
"PP", 17, 84382, 48.81
"PSOE", 14, 69858, 40.41
"PR", 2, 10369, 6
"IZQ.", 0, 5292, 3.06
"Blancos", 0, 51665, 1.72
"Nulos", 0, 13454, 0.45
"PP", 67, 1592162, 53.29
"PSOE", 42, 1002862, 33.57
"IU-CM", 11, 264782, 8.86
"VERDES", 0, 33044, 1.11
"P.A.C.M.A.", 0, 6877, 0.23
"AE", 0, 5039, 0.17
"PMMJ", 0, 5024, 0.17
"PCPE", 0, 4231, 0.14
"DN", 0, 3518, 0.12
"FE de las JONS", 0, 3123, 0.1
"FE", 0, 2675, 0.09
"UC", 0, 2099, 0.07
"MEC", 0, 2074, 0.07
"CDE", 0, 1816, 0.06
"PH", 0, 1757, 0.06
"PM", 0, 1667, 0.06
"UPL", 0, 1422, 0.05
"UCL", 0, 1335, 0.04
"ID", 0, 574, 0.02
"Blancos", 0, 8642, 1.32
"Nulos", 0, 4972, 0.76
"PP", 29, 379011, 58.3
"PSOE", 15, 207998, 32
"(IU+LV)RM", 1, 40633, 6.25
"CCR", 0, 8139, 1.25
"CDL", 0, 3744, 0.58
"DN", 0, 1006, 0.15
"FE de las JONS", 0, 774, 0.12
"Centristas.org", 0, 124, 0.02
"Blancos", 0, 4580, 1.4
"Nulos", 0, 18096, 5.2
"UPN", 22, 139122, 42.2
"NA-BAI", 12, 77893, 23.6
"PSN-PSOE", 12, 74157, 22.5
"CDN", 2, 14418, 4.4
"IUN-NEB", 2, 14337, 4.3
"RCN-NOK", 0, 4707, 1.4
"EKA", 0, 541, 0.2
"Blancos", 0, 34348, 1.4
"Nulos", 0, 16376, 0.67
"PP", 54, 1277458, 52.17
"PSOE", 38, 838987, 34.26
"COMPROMIS PV", 7, 195116, 7.97
"UNIO", 0, 22789, 0.93
"CVa", 0, 17331, 0.71
"ERC", 0, 11686, 0.48
"PSD", 0, 10187, 0.42
"E-2000", 0, 5934, 0.24
"PCPE", 0, 4088, 0.17
"UxV", 0, 2559, 0.1
"FA", 0, 2493, 0.1
"PH", 0, 2039, 0.08
"MUP-R", 0, 1531, 0.06
"CL", 0, 1511, 0.06
"CLr", 0, 1461, 0.06
"FE de las JONS", 0, 1018, 0.04
"CDL", 0, 785, 0.03
"DN", 0, 706, 0.03
"UCL", 0, 427, 0.02
