"Blancos", 0, 15597, 2.57
"Nulos", 0, 8792, 1.45
"FAC", 16, 177588, 29.75
"PSOE", 15, 177714, 29.77
"PP", 10, 118930, 19.92
"IU-LOS VERDES", 4, 61513, 10.3
"UPyD", 0, 14662, 2.46
"IDEAS", 0, 6337, 1.06
"BLOQUE POR ASTURIES-UNA", 0, 6160, 1.03
"FDLI", 0, 4572, 0.77
"LV-GV", 0, 3564, 0.6
"URAS-PAS", 0, 2948, 0.49
"PACMA", 0, 1864, 0.31
"CONCEYU ABIERTU", 0, 1529, 0.26
"P.C.P.E.", 0, 1417, 0.24
"PDYC", 0, 1040, 0.17
"D.N.", 0, 778, 0.13
"FrN-MSR", 0, 387, 0.06
"ALS", 0, 328, 0.05
"U.C.E.", 0, 10, 0
