"Blancos", 0, 12282, 2.88
"Nulos", 0, 6773, 1.59
"PP", 35, 194680, 46.37
"PSOE", 14, 89806, 21.39
"PSM-IV-EXM", 4, 36149, 8.61
"PSOE-PACTE", 4, 12691, 3.02
"PSM- EN", 1, 3719, 0.89
"GxF + PSOE", 1, 1900, 0.45
"IB-LLIGA", 0, 12313, 2.93
"CxI", 0, 11922, 2.84
"EUIB", 0, 9620, 2.29
"UPyD", 0, 8722, 2.08
"ERC", 0, 5323, 1.27
"CENB", 0, 3156, 0.75
"ExC", 0, 2069, 0.49
"NOV-A", 0, 1754, 0.42
"PACMA", 0, 1631, 0.39
"EM-EU", 0, 1564, 0.37
"SA UNIÓ", 0, 1352, 0.32
"A.S.I.", 0, 1100, 0.26
"UMe", 0, 967, 0.23
"ESOS", 0, 902, 0.21
"C's", 0, 817, 0.19
"E.V.Me.", 0, 640, 0.15
"CCD", 0, 625, 0.15
"ENE", 0, 566, 0.13
"TD", 0, 558, 0.13
"P.LI.E.", 0, 547, 0.13
"U.P.C.M.", 0, 508, 0.12
"Dissidents", 0, 473, 0.11
"PFyV", 0, 444, 0.11
"P.I.I.B.", 0, 299, 0.07
"M.S.R.", 0, 298, 0.07
"PRB+i", 0, 200, 0.05
"P.R.E.F.", 0, 135, 0.03
"U.C.E.", 0, 64, 0.02
