"Blancos", 0, 13237, 1.41
"Nulos", 0, 5392, 0.57
"PSOE", 24, 322833, 34.51
"CC-PNC", 17, 222905, 23.83
"PP", 13, 224883, 24.04
"NCa", 2, 50749, 5.43
"PIL-CCN", 2, 9701, 1.04
"CC-AHI", 2, 2973, 0.32
"CCN", 0, 36975, 3.95
"VERDES", 0, 17793, 1.9
"CGCa", 0, 8512, 0.91
"IUC", 0, 6558, 0.7
"APCa-AC25m", 0, 4824, 0.52
"ANC", 0, 2539, 0.27
"UNIDAD DEL PUEBLO", 0, 1485, 0.16
"PCPC", 0, 1338, 0.14
"AMAGA", 0, 1079, 0.12
"P.G.C.", 0, 1073, 0.11
"CCCAN", 0, 1006, 0.11
"MUPC", 0, 888, 0.09
"ISAL", 0, 870, 0.09
"PH", 0, 777, 0.08
"UC", 0, 557, 0.06
"CTF", 0, 466, 0.05
"FE", 0, 327, 0.03
"DN", 0, 302, 0.03
"ICF", 0, 286, 0.03
"TPC", 0, 280, 0.03
"PNC", 0, 244, 0.03
