"Blancos", 0, 47012, 3.23
"Nulos", 0, 27991, 1.92
"PP", 53, 737553, 51.59
"PSOE", 29, 423239, 29.61
"IUCyL", 1, 69861, 4.89
"U.P.L.", 1, 26479, 1.85
"UPyD", 0, 47045, 3.29
"PCAL", 0, 15871, 1.11
"PCAL-CI", 0, 8459, 0.59
"PACMA", 0, 5309, 0.37
"MASS", 0, 4779, 0.33
"PAL-UL", 0, 3743, 0.26
"SI", 0, 3700, 0.26
"CENB", 0, 3602, 0.25
"ADEIZA-UPZ", 0, 3323, 0.23
"VERDES", 0, 2759, 0.19
"IDES", 0, 2665, 0.19
"LV-GV", 0, 2622, 0.18
"P.B.", 0, 2501, 0.17
"D.N.", 0, 2099, 0.15
"CiBu", 0, 1992, 0.14
"PREPAL", 0, 1937, 0.14
"CIVIQUS", 0, 1688, 0.12
"VYC", 0, 1560, 0.11
"FE de las JONS", 0, 1516, 0.11
"U.R.C.L.", 0, 1424, 0.1
"SAIn", 0, 1292, 0.09
"P.C.P.E.", 0, 1252, 0.09
"IxSA", 0, 883, 0.06
"I.M.C.", 0, 802, 0.06
"SEGOVIA DE IZQUIERDAS", 0, 758, 0.05
"P.R.B.", 0, 664, 0.05
"PH", 0, 523, 0.04
"U.C.E.", 0, 492, 0.03
"PFyV", 0, 199, 0.01
