"Blancos", 0, 65779, 2.64
"Nulos", 0, 40710, 1.63
"PP", 55, 1208603, 48.53
"PSOE", 33, 684893, 27.5
"C. COMPROMÍS", 6, 175087, 7.03
"EUPV", 5, 144201, 5.79
"UPyD", 0, 60734, 2.44
"VERDS", 0, 31897, 1.28
"ESPAÑA 2000", 0, 12183, 0.49
"ERPV", 0, 11116, 0.45
"CVa", 0, 9334, 0.37
"PACMA", 0, 9242, 0.37
"C.D.L.", 0, 8165, 0.33
"CenB", 0, 4201, 0.17
"UxV", 0, 3629, 0.15
"PCPE", 0, 3421, 0.14
"PH", 0, 2547, 0.1
"CLr.", 0, 2463, 0.1
"DN", 0, 2156, 0.09
"UCE", 0, 1716, 0.07
"FA", 0, 1619, 0.07
"MUP-R", 0, 1431, 0.06
"PFyV", 0, 1407, 0.06
"FE de las JONS", 0, 1149, 0.05
"LA REPÚBLICA", 0, 722, 0.03
"ENV-RVPVE", 0, 715, 0.03
"SPES", 0, 597, 0.02
"Pdex", 0, 530, 0.02
