PP 337   85.874   40,06%  
PSOE 402  103.183  48,14% 
IU 25  11.984  5,59% 
          
          
          
P.I.P.A. 2  295  0,14% 
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
P.R.M.    895  0,42% 
          
          
AEIA 4  2.380  1,11% 
AIPC 4  662  0,31% 
A.I.C.L. 4  235  0,11% 
A.O.I. 3  513  0,24% 
AINPHO 3  475  0,22% 
ACA 1  455  0,21% 
I.C.E.A 1  206  0,10% 
AIR 1  194  0,09% 
CLG 1  166  0,08% 
A.E.I. 1  141  0,07% 
PIDSS DE BOGARRA 1  117  0,05% 
I.C.R. 1  70  0,03% 
